,uniqueID,text,label
23,antisexm24_uk-60097,"Disgusting fascist and security risk,Suella Braverman, wants to make cannabis a class A drug. She will sit in cabinet alongside self-confessed cocaine user Michael Gove! #Reshuffle #RishiSunak #torychaos #SunakOut #GeneralElectionNow [URL]",neither
24,antisexm24_uk-63838,"|""...they have come there to cleanse the blood line"" a doctor explains the ethic cleansing and weaponized rape campaign against the women and girls in Tigray. #Justice4TigrayWomen #IWD2022 @MeTooMVMT @UNWomenUK @IntlCrimCourt @UN_HRC @SteveReedMP @MarshadeCordova @CarolineLucas",anti-sexism
25,antisexm24_uk-65724,"@Eddybotil @Ashles3000 @liz_langfield @CarolineLucas Impossible, WhatsApp has been down for the most of the day! Hold scratch that, it was their constant messaging that blew up the system!!",neither
26,antisexm24_uk-67123,Not sure that repeating what was written about Angela Rayner endlessly is helping. Utter disgrace the whole thing.,anti-sexism
27,antisexm24_uk-69984,@pritipatel Three years of giving full reign to your vicious cruelty. You must be gutted to be leaving.,neither
28,antisexm24_uk-71797,In response to the vile comments brought out against angela Rayner I would like to point out that the same comments were never brought against Anne Widdecombe! Times change maybe but standards must remain!,anti-sexism
29,antisexm24_uk-72705,Has Westminster faced its #MeToo reckoning? Ask Angela Rayner. The treatment of Labours deputy leader betrays a misogynist culture that provides cover for serious sexual offences. #ToryCorruption #ToryCriminals [URL],anti-sexism
30,antisexm24_uk-72920,"@AngelaRayner This the reality @AngelaRayner @Keir_Starmer @bphillipsonMP @RachelReevesMP for millions of #ExcludedUnity the last 2 year""s If @UKLabour were on ourside we would not be asking you to speak up after 1 year of silence @OfficialEUA #WeNeedJustice from @BorisJohnson @RishiSunak [URL]",neither
31,antisexm24_uk-73288,"@MaryCreagh_ @AngelaRayner But still radio silence on Karl Turner, the pure hypocrisy is very telling. 1 rule for Tories and 1 rule for Labour... [URL]",neither
32,antisexm24_uk-75117,Get political gender identity ideology out of policing! @SuellaBraverman @trussliz [URL],anti-sexism
33,antisexm24_uk-78580,"@TheoMpoze @BorisJohnson @pritipatel @10DowningStreet ..In March 2021, Downing Streets policy unit told the #Foreign Office it wanted information on countries outside the seven proposed countries, but #Rwanda was still not listed...",neither
34,antisexm24_uk-79263,"@10DowningStreet @SuellaBraverman @ukhomeoffice That is a disgusting decision. Sacked less than a week ago. Proves Rishi has no integrity, job promised in return for endorsement. Absolutely talentless.",neither
35,antisexm24_uk-81584,"Punish sexist MPs with suspension, says most senior woman in [URL]",neither
36,antisexm24_uk-82534,"@CarolineLucas As an independent country we need to be able to produce our own steel as part of our overall security strategy. Coke is fuel for smelting iron ore, and the iron is used to make steel. Electricity can be used in some processes, but you will not allow nuclear power either! Sheesh!",neither
37,antisexm24_uk-82544,"@CarolineLucas Mogg will be delighted. He will be leaving notes to children to get them down the mines before school. ""They will find it invigorating, breathing in delicious British coal dust"".",neither
38,antisexm24_uk-85512,Many Tories are terrified of #AngelaRayner and that is why they have resorted to misogynist slurs [URL],anti-sexism
39,antisexm24_uk-90666,@CaroleA_Smith @scorelog @boojune1954 @DoreenHowardRSA @AliciaGaelWrite @sagaciousapphic @KathrynCawley1 @meghandiane_ @britneynjackson @boldlump72 @Allem21_4eva @JJonesUCD @sboase888 @ClaStevOfficial @katoddauthor @LDreamer70 I would love it to be Angela Rayner.,neither
40,antisexm24_uk-90843,"She has NOTHING on Braverman. Nothing. Suella Braverman is the most dangerous, evil person ever to occupy high office in the UK. The only saving grace is that she is so completely batshit, she will likely destroy herself. [URL]",sexism
41,antisexm24_uk-91882,@JeremyCliffe He obviously was not watching Suella Braverman having strips torn off her by Yvette Cooper @YvetteCooperMP Just a different class!,neither
42,antisexm24_uk-91925,@atticrahman @SuellaBraverman Rejoicing in the appointment of someone because you think it will upset others? Not a sensible attitude at all. Seems vindictive and petty. Should not you want the best candidate for the job?,neither
43,antisexm24_uk-92006,@MattJB24 @MatthewRycroft1 @ukhomeoffice @SuellaBraverman There is nothing illegal about arriving by small boat. Hope that helps,neither
